X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,X_LEFT_THUMB_TIP,Y_LEFT_THUMB_TIP,Z_LEFT_THUMB_TIP,X_LEFT_INDEX_FINGER_TIP,Y_LEFT_INDEX_FINGER_TIP,Z_LEFT_INDEX_FINGER_TIP,X_LEFT_MIDDLE_FINGER_TIP,Y_LEFT_MIDDLE_FINGER_TIP,Z_LEFT_MIDDLE_FINGER_TIP,X_LEFT_RING_FINGER_TIP,Y_LEFT_RING_FINGER_TIP,Z_LEFT_RING_FINGER_TIP,X_LEFT_PINKY_FINGER_TIP,Y_LEFT_PINKY_FINGER_TIP,Z_LEFT_PINKY_FINGER_TIP,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,X_RIGHT_THUMB_TIP,Y_RIGHT_THUMB_TIP,Z_RIGHT_THUMB_TIP,X_RIGHT_INDEX_FINGER_TIP,Y_RIGHT_INDEX_FINGER_TIP,Z_RIGHT_INDEX_FINGER_TIP,X_RIGHT_MIDDLE_FINGER_TIP,Y_RIGHT_MIDDLE_FINGER_TIP,Z_RIGHT_MIDDLE_FINGER_TIP,X_RIGHT_RING_FINGER_TIP,Y_RIGHT_RING_FINGER_TIP,Z_RIGHT_RING_FINGER_TIP,X_RIGHT_PINKY_FINGER_TIP,Y_RIGHT_PINKY_FINGER_TIP,Z_RIGHT_PINKY_FINGER_TIP
0.604447424,0.775061607,1.26646906e-08,0.584578812,0.747236073,-0.00305606378,0.580155969,0.76045841,-0.00755356485,0.58190167,0.773905098,-0.00760098174,0.583405316,0.785472274,-0.00761209149,0.578730226,0.804513216,-0.00906117167,0.50062114,0.333921969,8.39936121e-08,0.53021878,0.285657436,-0.0035326588,0.549767,0.313271433,-0.0114665413,0.550090253,0.319156021,-0.00958335865,0.548979163,0.322216213,-0.00890100747,0.543143928,0.324916631,-0.0089520514
0.606013,0.775674224,2.06454747e-08,0.582193255,0.751952887,-0.00118506374,0.579034746,0.758646846,-0.00470896624,0.579077303,0.773725867,-0.00559698511,0.580652833,0.786026835,-0.00614297669,0.578999341,0.805174768,-0.00747763412,0.501086593,0.335335284,8.07052274e-08,0.531104207,0.285811722,-0.00405402156,0.550438702,0.317741185,-0.0115006976,0.550563037,0.322793484,-0.00929889176,0.54910624,0.327011466,-0.00904301647,0.543829441,0.329262733,-0.00914067589
0.604391456,0.776370168,1.78450339e-08,0.583552897,0.748657644,-0.00294597424,0.579455614,0.759781063,-0.00708422717,0.58027482,0.774053216,-0.00781852473,0.581715524,0.785904467,-0.00856976,0.578829229,0.804977477,-0.00990303792,0.500623882,0.336870432,7.52646159e-08,0.53165859,0.285876274,-0.00250699208,0.550164104,0.3225936,-0.00993134081,0.550757349,0.326233625,-0.00755321607,0.549733341,0.329256743,-0.00757661182,0.544685781,0.33156085,-0.0079243565
0.605242,0.775449097,2.33291289e-08,0.583616,0.749899805,-0.00342146144,0.578716278,0.759508491,-0.00878433604,0.578430712,0.774255633,-0.00876442,0.580516756,0.786096632,-0.00891759619,0.578493655,0.805405319,-0.0103091924,0.50130409,0.337342888,9.12481e-08,0.531701446,0.285764068,-0.00532725966,0.551327884,0.325838059,-0.0134269213,0.551056862,0.330528677,-0.0110223554,0.549747,0.332702518,-0.010111223,0.544520736,0.334296703,-0.0100678215
0.604314923,0.774526894,2.40197569e-08,0.58398509,0.750524342,-0.00357616064,0.579046547,0.759885192,-0.00848237053,0.580332279,0.774269462,-0.00800076127,0.583142,0.785913229,-0.00764329825,0.578736186,0.804056883,-0.00974101201,0.502214,0.338626325,8.08958802e-08,0.532860875,0.284275323,-0.00458609592,0.551464379,0.32915926,-0.0119427452,0.550248325,0.333594948,-0.00937597454,0.548618734,0.33674702,-0.00905097649,0.544566393,0.337968498,-0.00891077518
0.60445559,0.774642348,8.42667092e-09,0.581227601,0.750881374,-0.00408144901,0.580213666,0.760032773,-0.0102765197,0.582409143,0.773312569,-0.00971884653,0.584704518,0.784646153,-0.00897217263,0.578783,0.805062056,-0.0113603445,0.499828309,0.338715822,6.8832378e-08,0.532971919,0.283662021,-0.00621824572,0.550278544,0.335089475,-0.0142900841,0.550128579,0.339087337,-0.0108439149,0.549007773,0.341980636,-0.0104772374,0.544573784,0.342759252,-0.0100250645
0.6061306,0.775928676,1.77422432e-08,0.586338401,0.748104692,-0.00361683196,0.579990804,0.758708775,-0.00865090545,0.580262482,0.773189247,-0.0085982075,0.582168519,0.78499192,-0.00865990762,0.579223752,0.804903,-0.0103358133,0.499417633,0.341460675,7.36389083e-08,0.533539414,0.28592512,-0.00535886874,0.550501704,0.33933863,-0.0137929507,0.549899459,0.343770653,-0.0105906064,0.548354089,0.347216934,-0.0104025844,0.544510841,0.346705079,-0.0103204511
0.605392098,0.776699424,2.24361436e-08,0.587112725,0.747970164,-0.00367574813,0.579831362,0.759561539,-0.00796884112,0.579342842,0.774173,-0.00800678879,0.581779182,0.786199152,-0.00826788,0.579235494,0.80492,-0.00960526802,0.499009907,0.34309417,6.87604143e-08,0.535011411,0.287498981,-0.0052558179,0.549777269,0.344859064,-0.0132283485,0.549423397,0.349287063,-0.0101847732,0.547997415,0.35384202,-0.010786769,0.543987215,0.354392201,-0.0104031069
0.602826416,0.776184201,1.72163901e-08,0.585604608,0.748725474,-0.00455062417,0.580431819,0.759925544,-0.0098210182,0.581112325,0.77356565,-0.00942751952,0.582115531,0.785375476,-0.0096808048,0.57916373,0.805302858,-0.0110632498,0.499208748,0.347824335,6.75401779e-08,0.535665512,0.293050915,-0.00472925231,0.54989326,0.3463763,-0.0132671306,0.549089313,0.353410363,-0.0109167807,0.547767162,0.358870149,-0.0110842418,0.543852925,0.360705256,-0.0113273757
0.60464406,0.774654031,2.14887219e-08,0.582324862,0.751165092,-0.00290173525,0.579832375,0.758043289,-0.00709014665,0.580214918,0.774010301,-0.00773479231,0.581056297,0.786441088,-0.00805873424,0.578940809,0.80473721,-0.00915718079,0.497761667,0.349251807,5.78285224e-08,0.537021339,0.295257479,-0.00577471,0.549893916,0.355104238,-0.0137014799,0.549609,0.360971302,-0.0108791646,0.548312604,0.366779894,-0.011468864,0.543520808,0.369109422,-0.0118090538
0.60585326,0.776003361,2.14068354e-08,0.586562157,0.747506201,-0.00296287402,0.579945505,0.758773744,-0.00676096324,0.579523563,0.773985,-0.00751604373,0.58144033,0.785125852,-0.00828554295,0.579231143,0.804787278,-0.00929934345,0.49806574,0.355507046,8.02829732e-08,0.537486911,0.300438941,-0.00609168084,0.550554514,0.361173838,-0.0144598968,0.549811363,0.36944294,-0.0125901727,0.548107386,0.375751406,-0.0129595743,0.543806911,0.376879096,-0.0129069313
0.603889585,0.777022958,3.20704494e-08,0.58537668,0.750152469,-0.00355889718,0.579157054,0.759215415,-0.00690328,0.578711569,0.774114549,-0.00705734594,0.580735683,0.786250591,-0.00701537635,0.579194307,0.804279864,-0.0085550528,0.497266948,0.359428048,6.40329603e-08,0.538434267,0.302922517,-0.00592145976,0.550654113,0.368090361,-0.0145670539,0.549473107,0.375302255,-0.0123345423,0.547521889,0.381176949,-0.0127245057,0.543151855,0.382259667,-0.0125341462
0.603289604,0.774601638,2.13148574e-08,0.581966758,0.748959,-0.00306528411,0.579583228,0.759839296,-0.00808432,0.579079866,0.774925709,-0.00841544848,0.580706,0.786934078,-0.00891035795,0.580007851,0.804465473,-0.0098717073,0.496532202,0.363450259,6.01822521e-08,0.539749503,0.309330195,-0.00582778,0.549671412,0.371596217,-0.0141259944,0.548853,0.380420238,-0.0125921275,0.546906948,0.387203336,-0.0130676171,0.543234169,0.389092773,-0.0126617495
0.605128706,0.777231693,1.34734064e-08,0.586524367,0.749095738,-0.00501803821,0.581540346,0.759639323,-0.00961450394,0.582755089,0.772405505,-0.00877824426,0.583738,0.78397,-0.00831565261,0.579565883,0.803963244,-0.00956755411,0.496705979,0.366588235,5.52143469e-08,0.540160716,0.314870983,-0.00417831913,0.549056232,0.378354311,-0.0116966814,0.548644423,0.387572527,-0.0101510771,0.547059536,0.39419663,-0.0111980839,0.542436957,0.394673109,-0.0107349567
