comparison_id,pair,referent,hands_dtw,A_hands,B_hands,location,handshape,orientation,movement,speaker_1,round_1,trial_1,director_1,target_1,A_gesture_referent_1,B_gesture_referent_1,A_gesture_referent2_1,B_gesture_referent2_1,begin_time_1,end_time_1,duration_1,speaker_2,round_2,trial_2,director_2,target_2,A_gesture_referent_2,B_gesture_referent_2,A_gesture_referent2_2,B_gesture_referent2_2,begin_time_2,end_time_2,duration_2,begin_time_1_adj,end_time_1_adj,duration_1_adj,begin_time_2_adj,end_time_2_adj,duration_2_adj
257,9,05B,right,right,right,0,0,0,0,B,3,3_4,B,5,,05B,,,1022160,1022710,550,A,4,4_5,A,5,05B,,,,1211730,1212040,310,1022160,1022710,550,1211720,1212050,330
260,9,11D,both,left,both,3,1,1,0,B,3,3_6,B,11,,11A,,11D,1049150,1049360,210,A,4,4_3,A,11,11D,,,,1177870,1178360,490,1049090,1049420,330,1177870,1178360,490
262,9,12C,both,left,both,4,0,3,3,A,3,3_13,A,12,12C,,,,1122600,1123030,430,B,4,4_10,B,12,,12C,,,1261410,1261790,380,1122600,1123030,430,1261410,1261790,380
264,9,11D,left,left,left,2,2,3,2,A,4,4_3,A,11,11D,,,,1177870,1178360,490,B,5,5_14,B,11,,11D,,,1433340,1433870,530,1177870,1178360,490,1433340,1433870,530
272,11,12A,right_left,right,left,4,4,3,3,B,1,1_1,B,12,,12A,,,105632,106492,860,A,1,1_1,B,12,12A,,,,114338,116138,1800,105632,106492,860,114338,116138,1800
274,11,12C,right_left,right,left,5,0,0,4,A,1,1_1,B,12,12C,,,,117292,118692,1400,B,1,1_1,B,12,12B,12C,,,135654,136294,640,117292,118692,1400,135654,136294,640
277,11,01A,right,right,right,5,5,5,5,A,1,1_2,A,1,01A,,,,164595,167600,3005,B,1,1_2,A,1,,01A,,,177627,177867,240,164595,167600,3005,177582,177912,330
282,11,07B,both,both,right,3,4,2,0,A,1,1_4,A,7,07B,,,,213431,214711,1280,B,2,2_9,B,7,,07B,,,771600,772300,700,213431,214711,1280,771600,772300,700
283,11,04A,both,both,both,4,3,5,2,B,1,1_5,B,4,,04A,,,232921,233661,740,A,1,1_5,B,4,04A,,,,260565,261225,660,232921,233661,740,260565,261225,660
286,11,05E,both,both,right,2,3,1,3,A,1,1_6,A,5,05D,,05E,,271660,273240,1580,B,2,2_1,B,5,,05E,,,586086,586486,400,271660,273240,1580,586086,586486,400
287,11,05A,both,right,both,3,5,5,2,A,1,1_6,A,5,05A,,,,275899,279459,3560,B,2,2_1,B,5,,05A,,,572318,572738,420,275899,279459,3560,572318,572738,420
292,11,11D,both,both,both,4,3,4,0,A,1,1_10,A,11,11D,,,,386603,388363,1760,B,2,2_11,B,11,,11A,,11D,800133,800633,500,386603,388363,1760,800133,800633,500
295,11,11B,right_left,right,left,4,1,2,0,A,1,1_10,A,11,11B,,,,390926,391706,780,B,2,2_11,B,11,,11B,,,810782,811142,360,390926,391706,780,810782,811142,360
298,11,13A,both,right,both,4,0,0,2,A,1,1_12,A,13,13A,15A,,,438291,441631,3340,B,1,1_12,A,13,,13A,,,444174,445094,920,438291,441631,3340,444174,445094,920
302,11,15A,left_right,left,right,5,5,3,5,A,1,1_14,A,15,15A,,,,490639,491179,540,B,1,1_14,A,15,,15A,,,491783,492023,240,490639,491179,540,491738,492068,330
306,11,05B+05C,left_right,left,right,5,4,0,4,B,2,2_1,B,5,,05B+05C,,,616912,617612,700,A,2,2_1,B,5,05B+05C,,,,654813,655593,780,616912,617612,700,654813,655593,780
308,11,04A,both,both,both,5,2,3,4,A,2,2_2,A,4,04A,,,,668831,669431,600,B,3,3_11,B,4,,04A,,,1014780,1015500,720,668831,669431,600,1014780,1015500,720
312,11,07B,both,both,right,3,3,1,0,B,2,2_9,B,7,,07B,,,771600,772300,700,A,3,3_10,A,7,07B,,,,997360,999140,1780,771600,772300,700,997360,999140,1780
316,11,11B,right_left,right,left,2,5,2,0,B,2,2_11,B,11,,11B,,,810782,811142,360,A,2,2_11,B,11,11B,,,,812576,812896,320,810782,811142,360,812571,812901,330
318,11,16C,left,left,left,5,2,0,2,A,2,2_14,A,16,16C,,,,849847,850267,420,B,3,3_9,B,16,,16C,,,985094,985414,320,849847,850267,420,985089,985419,330
322,11,16A,both,both,right,4,3,4,2,B,3,3_9,B,16,,16A,,,985534,985814,280,A,4,4_12,A,16,16A,,16C,,1159900,1160380,480,985509,985839,330,1159900,1160380,480
325,11,01A,right,right,right,4,5,4,5,A,3,3_12,A,1,01A,,,,1022400,1022860,460,B,4,4_13,B,1,,01A,,,1177455,1178035,580,1022400,1022860,460,1177455,1178035,580
329,11,11A,both,both,right,4,0,0,3,A,5,5_14,A,11,11A,,11D,,1305721,1306601,880,B,6,6_15,B,11,,11A,,,1421069,1421349,280,1305721,1306601,880,1421044,1421374,330
333,12,12A,right_left,right,left,2,4,2,0,A,1,1_1,B,12,12A,,,,38789,41100,2311,B,1,1_1,B,12,,12A,,,42119,42899,780,38789,41100,2311,42119,42899,780
336,12,07D,right,right,right,3,0,1,0,B,1,1_4,A,7,,07D,,,136639,138479,1840,A,1,1_4,A,7,07D,,,,169139,169359,220,136639,138479,1840,169084,169414,330
339,12,04C,left,left,left,4,5,4,3,B,1,1_5,B,4,,04C,,,226906,228126,1220,A,2,2_2,A,4,04C,,,,823039,823499,460,226906,228126,1220,823039,823499,460
342,12,05E,both,right,both,5,5,5,5,B,1,1_6,A,5,,05E,,,308559,309279,720,A,1,1_6,A,5,05E,,,,314121,314381,260,308559,309279,720,314086,314416,330
344,12,05E,right_left,right,left,4,5,5,1,A,1,1_6,A,5,05E,,,,314816,315256,440,B,2,2_1,B,5,,05E,,,776763,777183,420,314816,315256,440,776763,777183,420
348,12,10E,both,both,both,5,4,0,2,B,1,1_7,B,10,,10A,,10E,334279,334699,420,A,1,1_7,B,10,10E,,10A,,348299,349440,1141,334279,334699,420,348299,349440,1141
352,12,08E,both,both,left,2,5,2,2,B,1,1_9,B,8,,08E,,,520549,520949,400,A,2,2_4,A,8,08E,,,,852412,854355,1943,520549,520949,400,852412,854355,1943
355,12,11D,left,left,left,5,0,4,5,A,1,1_10,A,11,11D,,,,571573,571853,280,B,1,1_10,A,11,,11D,,,585819,586139,320,571548,571878,330,585814,586144,330
358,12,14C,both,right,both,4,4,4,5,B,1,1_13,B,14,,14C,,,669078,669378,300,A,2,2_16,A,14,14C,,,,1019307,1019767,460,669063,669393,330,1019307,1019767,460
360,12,14A,both,right,both,5,4,5,1,B,1,1_13,B,14,,14B,,14A,675860,676340,480,A,2,2_16,A,14,14A,,,,1015233,1015613,380,675860,676340,480,1015233,1015613,380
