matrix_idx,gesture_id,chain,generation,target,director,condition,participant,ent_type,code_string,code_len,num_reps,vid_len,phase,acc
65,ex2_ch1_g1_microphone_B_TI,chain1,1,microphone,B,Transmission + Interaction,full2,obj,"1hMicrophone<hold>,1hPointatObj<atObj>",2.0,0.0,2.385599,testing,1.0
66,ex2_ch1_g1_vicar_B_TI,chain1,1,vicar,B,Transmission + Interaction,full2,person,"2hPray,1hCollar<rightleft>",2.0,0.0,2.437749,testing,1.0
67,ex2_ch1_g1_singer_B_TI,chain1,1,singer,B,Transmission + Interaction,full2,person,"1hThumbSelf<self-repeated>,1hSing",2.0,0.0,2.925022,testing,1.0
68,ex2_ch1_g1_restaurant_B_TI,chain1,1,restaurant,B,Transmission + Interaction,full2,loc,"2hOpenBook,(look,nod<right>,1hPalm,1hPointatObj<atObj>)",5.0,0.0,2.759636,testing,1.0
69,ex2_ch1_g1_frying_pan_B_TI,chain1,1,frying pan,B,Transmission + Interaction,full2,obj,"1hHoldPan<shake>,(1hHoldPan<hold>,1hPointatObj<atObj>),1hHoldPan<shake>",4.0,2.0,2.864475,testing,1.0
70,ex2_ch1_g1_bible_B_TI,chain1,1,bible,B,Transmission + Interaction,full2,obj,"2hOpenBook,2hTurnPage<repeated>,2hOpenBook,(1hPalm,1hPointatObj<atObj>),2hPray",6.0,1.0,5.597189,testing,1.0
71,ex2_ch1_g1_to_cook_B_TI,chain1,1,to cook,B,Transmission + Interaction,full2,act,"2hBowl-Mix,(1hBowl,1hPour<left>),1hPour<right>,2hBowl-Mix,2hTray<forward>,2hTray<backward>",7.0,3.0,5.901776,testing,1.0
72,ex2_ch1_g2_police_officer_A_TI,chain1,2,police officer,A,Transmission + Interaction,full3,person,"1hKnock<right>,1hGrab<right-hold>",2.0,0.0,4.721254,testing,1.0
73,ex2_ch1_g2_to_make_an_arrest_A_TI,chain1,2,to make an arrest,A,Transmission + Interaction,full3,act,"1hKnock<right>,1hGrab<right>,2hHoldWristsTogether<hold>",3.0,0.0,3.07117,testing,1.0
74,ex2_ch1_g2_chef_A_TI,chain1,2,chef,A,Transmission + Interaction,full3,person,"1hPointSelf<self-repeated>,1hHoldPan<shake>,(1hHoldPan<hold>,1hPour),1hHoldPan<shake>",5.0,2.0,5.272351,testing,1.0
